All Shortstops   Projections Standard Categories
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	K	SB	CS	AVG	OBP	SLG	Rank	
"Adrian Marin SS  BAL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Edgardo Fermin SS  NYM"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Jeff Kemp SS  BAL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Luis Pintor SS  MIA"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Cristian Toribio SS  TB"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Brice Turang SS  MIL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Melvin Mercedes SS  OAK"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Paul Hendrix SS  CLE"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"C.J. Abrams SS  SD "	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Cristian Gomez SS  LAD"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Jeremy Eierman SS  OAK"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Andrew Sohn SS  STL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Luis Curbelo SS  CHW"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Ryan Walker SS  MIN"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Jeremiah Jackson SS  LAA"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Emmanuel Marrero SS  PHI"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Jung Ho Kang 3B  PIT"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Nonie Williams SS  LAA"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Luke Wakamatsu SS  CLE"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Alec Sole SS  TB"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Yeltsin Gudino SS  TOR"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Anthony Volpe SS  NYY"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Reginald Preciado SS  SD"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Max Moroff 2B  NYM"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Orelvis Martinez SS  TOR"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Phil Gosselin LF  PHI"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Oswald Peraza SS  NYY"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Gift Ngoepe SS  PHI"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Mike Freeman 2B  CLE"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Jason Martinson SS  TEX"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Mateo Gil SS  STL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Tyler Bortnick SS  ARI"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Tyler Depreta-Johnson SS  TEX"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Wilkerman Garcia SS  NYY"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Leonel Valera SS  LAD"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Elliot Soto SS  LAA"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Alejo Lopez SS  CIN"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Andy Vasquez SS  PIT"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Zach Rutherford SS  TB"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Delvin Perez SS  STL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Pete Kozma SS  ATL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Bryson Stott SS  PHI"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Brandon Grudzielanek SS  TOR"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
