All Relief Pitchers 2015  Season MLB Standard Stats
Player,INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	Rank	
"Ryan Webb RP  TB "	50.7	0	0	0	1	0	0	0	31	12	46	3.20	1.14	695
"Luke Hochevar RP  KC "	50.7	0	0	0	1	1	1	1	49	16	49	3.73	1.28	696
"Chaz Roe RP  BAL"	41.3	0	0	0	4	2	0	1	38	17	44	4.14	1.48	699
"Mike Dunn RP  MIA"	54.0	0	0	0	2	5	0	3	65	29	46	4.50	1.39	703
"Mike Morin RP  LAA"	35.3	0	0	0	4	2	1	0	41	9	36	6.37	1.27	704
"Ryan Pressly RP  MIN "	27.7	0	0	0	3	2	0	0	22	12	27	2.93	1.41	706
"Al Alburquerque RP  LAA "	62.0	0	0	0	4	1	0	1	58	33	63	4.21	1.55	708
"Ryan Tepera RP  TOR"	33.0	0	0	0	0	2	1	0	22	6	23	3.27	0.88	710
"Aaron Loup RP  TOR "	42.3	0	0	0	2	5	0	4	46	7	47	4.46	1.28	711
"Drew VerHagen RP  DET"	26.3	0	0	0	2	0	0	1	13	14	18	2.05	1.22	712
"Brian Duensing RP  KC "	48.7	0	0	0	4	1	1	1	24	21	46	4.25	1.38	716
"Vincent Velasquez RP  PHI "	55.7	7	3	0	1	1	0	0	58	21	50	4.37	1.28	719
"Elvis Araujo RP  PHI"	34.7	0	0	0	2	1	0	0	34	19	29	3.38	1.38	720
"Ross Ohlendorf RP  KC "	19.3	0	0	0	3	1	1	1	19	7	21	3.72	1.45	721
"Bo Schultz RP  TOR"	43.0	0	0	0	0	1	1	2	31	14	32	3.56	1.07	723
"Brian Ellington RP  MIA"	25.0	0	0	0	2	1	0	0	18	13	17	2.88	1.20	725
"Tommy Layne RP  BOS"	47.7	0	0	0	2	1	1	1	45	27	41	3.96	1.43	728
"Edward Mujica RP  PHI"	47.3	0	0	0	3	5	1	4	30	7	52	4.75	1.25	729
"Fernando Abad RP  MIN"	47.7	0	0	0	2	2	0	3	45	19	45	4.15	1.34	730
