Free Agent Relief Pitchers  Season   Projections Standard Stats
Player,INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	Rank	
"Adam Warren RP  NYY "	27.7	0	0	0	2	2	1	0	22	10	24	3.58	1.23	846
"Steven Okert RP  SF"	36.7	0	0	0	1	1	1	0	35	12	36	3.44	1.31	861
"Jake Petricka RP  CHW "	57.0	0	0	0	3	3	2	0	39	25	62	3.79	1.53	864
"Matt Dermody RP  TOR"	38.7	0	0	0	2	2	3	1	38	13	42	4.66	1.42	868
"Josh Edgin RP  NYM "	36.0	0	0	0	2	1	2	0	35	16	35	4.25	1.42	869
"Joely Rodriguez RP  PHI"	34.7	0	0	0	1	2	2	0	29	14	32	3.38	1.33	870
"Buddy Boshers RP  MIN"	29.7	0	0	0	2	1	0	0	32	6	30	4.55	1.21	871
"Koda Glover RP  WAS "	33.3	0	0	0	2	1	1	0	28	12	28	4.59	1.20	872
"Jonathan Holder RP  NYY"	40.0	0	0	0	2	1	2	0	33	16	39	4.28	1.38	877
"Tyler Wagner RP  TEX "	118.7	20	9	0	9	8	2	0	70	45	147	5.01	1.62	882
"Austin Brice RP  CIN "	40.0	0	0	0	2	3	1	0	38	15	33	5.40	1.20	888
"Oliver Perez RP  WAS"	39.0	0	0	0	2	2	0	0	48	18	38	4.62	1.44	892
"Shawn Armstrong RP  CLE"	30.0	0	0	0	0	0	1	0	28	11	25	3.00	1.20	895
"Jhan Marinez RP  MIL"	37.3	0	0	0	1	1	0	0	30	13	37	3.13	1.34	898
"Danny Barnes RP  TOR"	30.7	0	0	0	1	1	2	0	29	11	31	3.81	1.37	900
"Mike Clevinger SP  CLE"	118.7	12	4	0	4	6	1	0	108	69	108	5.23	1.49	908
"Chad Girodo RP  TOR"	33.0	0	0	0	1	1	2	0	25	10	33	4.09	1.30	917
"Ben Heller RP  NYY"	31.0	0	0	0	2	1	2	0	28	13	34	4.36	1.52	918
"Edubray Ramos RP  PHI "	21.7	0	0	0	1	2	0	0	21	6	19	3.74	1.15	921
"Kyle Crockett RP  CLE"	45.3	0	0	0	1	1	2	0	43	19	44	4.57	1.39	923
"Josh Smoker RP  NYM"	22.3	0	0	0	1	1	1	0	28	7	23	4.43	1.34	925
"Marc Rzepczynski RP  SEA "	44.3	0	0	0	2	3	0	0	48	25	46	4.06	1.60	927
