All Starting Pitchers 2010 MLB Standard Stats,,,,,,,,,,,,,,,
Player,Team,INN,GS,QS,CG,W,L,S,BS,K,BBI,HA,ERA,WHIP,Rank
Coleman, Casey SP CHC	Free Agent	57.0	8	5	0	4	2	0	0	27	25	56	4.105	1.4211	621
Monasterios, Carlos RP LA	Free Agent	88.3	13	1	0	3	5	0	0	52	29	99	4.381	1.4491	626
Duchscherer, Justin SP OAK 	SA`s	28.0	5	2	0	2	1	0	0	18	12	26	2.893	1.3571	635
Karstens, Jeff SP PIT 	Free Agent	122.7	19	10	0	3	10	0	0	72	27	146	4.916	1.4103	644
Rogers, Mark SP MIL	Free Agent	10.0	2	0	0	0	0	0	0	11	3	2	1.800	0.5000	651
Misch, Pat SP NYM	Free Agent	37.7	6	4	0	0	4	0	0	23	4	43	3.823	1.2478	656
Bonderman, Jeremy SP DET	Free Agent	171.0	29	12	0	8	10	0	0	112	60	187	5.526	1.4444	665
Martin, J.D. SP WAS 	Free Agent	48.0	9	2	0	1	5	0	0	31	11	56	4.125	1.3958	679
Lannan, John SP WAS	Want-a-be Ghetto All Stars	143.3	25	12	0	8	8	0	0	71	49	175	4.646	1.5628	682
Hill, Shawn SP TOR 	Free Agent	20.7	4	0	0	1	2	0	0	14	4	24	2.613	1.3548	683
Harrison, Matt RP TEX	Free Agent	78.3	6	3	0	3	2	2	1	46	39	80	4.711	1.5191	689
Arrieta, Jake SP BAL 	Free Agent	100.3	18	10	0	6	6	0	0	52	48	106	4.665	1.5349	694
Blackburn, Nick SP MIN	Free Agent	161.0	26	14	1	10	12	0	0	68	40	194	5.422	1.4534	707
Moseley, Dustin SP SD 	Free Agent	65.3	9	3	0	4	4	0	0	33	27	66	4.959	1.4235	710
Luebke, Cory SP SD	Free Agent	17.7	3	1	0	1	1	0	0	18	6	17	4.075	1.3019	732
Zimmermann, Jordan SP WAS	Titty`s Warriors	31.0	7	2	0	1	2	0	0	27	10	31	4.936	1.3226	739
Millwood, Kevin SP BAL	Free Agent	190.7	31	14	1	4	16	0	0	132	65	223	5.098	1.5105	740
Ely, John SP LA	Free Agent	100.0	18	9	0	4	10	0	0	76	40	105	5.490	1.4500	744
Atilano, Luis SP WAS 	Free Agent	85.7	16	5	0	6	7	0	0	40	32	96	5.148	1.4942	755
Stammen, Craig SP WAS	Free Agent	128.0	19	8	0	4	4	0	0	85	41	151	5.133	1.5000	761
Nova, Ivan SP NYY	Free Agent	42.0	7	1	0	1	2	0	1	26	17	44	4.500	1.4524	777
Rzepczynski, Marc SP TOR	Free Agent	63.7	12	3	0	4	4	0	0	57	30	72	4.948	1.6021	778
LeCure, Sam SP CIN	Free Agent	48.0	6	2	0	2	5	0	0	37	25	50	4.500	1.5625	781
Burres, Brian SP PIT	Sofa Kings	79.3	13	5	0	4	5	0	0	45	34	87	4.992	1.5252	801
Beachy, Brandon SP ATL	Free Agent	15.0	3	0	0	0	2	0	0	15	7	16	3.000	1.5333	803
Parra, Manny RP MIL 	Titty`s Warriors	122.0	16	3	0	3	10	0	0	129	63	135	5.016	1.6230	808
Maholm, Paul SP PIT 	Free Agent	185.3	32	16	1	9	15	0	0	102	62	228	5.099	1.5647	814
O'Sullivan, Sean SP KC	Free Agent	83.7	14	6	0	4	6	0	0	43	31	90	5.486	1.4462	830
Davies, Kyle SP KC	Free Agent	183.7	32	14	1	8	12	0	0	126	80	206	5.341	1.5572	837
Olsen, Scott SP PIT 	Free Agent	81.0	15	6	0	4	8	0	0	53	27	93	5.556	1.4815	846
Paulino, Felipe SP COL 	Free Agent	91.7	14	7	0	1	9	0	1	83	46	95	5.106	1.5382	847
Drabek, Kyle SP TOR	Whiteness	17.0	3	2	0	0	3	0	0	12	5	18	4.765	1.3529	855
Beckett, Josh SP BOS	Free Agent	127.7	21	10	0	6	6	0	0	116	45	151	5.781	1.5352	858
Gomez, Jeanmar SP CLE	Free Agent	57.7	11	4	0	4	5	0	0	34	22	73	4.682	1.6474	862
Chico, Matt SP WAS 	Free Agent	5.0	1	0	0	0	0	0	0	3	0	6	3.600	1.2000	873
Bell, Trevor RP ANA 	Free Agent	61.0	7	2	0	2	5	0	0	45	21	77	4.721	1.6066	878
Mortensen, Clayton SP OAK	Free Agent	6.0	1	1	0	0	0	0	0	7	2	6	4.500	1.3333	882
Harang, Aaron SP SD 	Free Agent	111.7	20	9	0	6	7	0	0	82	38	139	5.319	1.5851	885
Kawakami, Kenshin SP ATL	Free Agent	87.3	16	7	0	1	10	0	0	59	32	98	5.153	1.4885	893
Detwiler, Ross SP WAS	Free Agent	29.7	5	1	0	1	3	0	0	17	14	34	4.247	1.6180	894
Minor, Mike SP ATL	Free Agent	40.7	8	3	0	3	2	0	0	43	11	53	5.975	1.5738	908
Cook, Aaron SP COL 	Free Agent	127.7	23	11	2	6	8	0	0	62	52	147	5.076	1.5587	910
Laffey, Aaron RP CLE	Disco Bush Horticulturists	55.7	5	1	0	2	3	0	0	28	28	62	4.527	1.6168	924
McCarthy, Brandon SP OAK 	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	942
Richmond, Scott SP TOR	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	943
Naylor, Drew SP PHI	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	949
Roe, Chaz SP SEA 	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	950
Hernandez, Gaby SP KC 	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	952
Tazawa, Junichi SP BOS 	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	954
Morris, Bryan SP PIT	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	955
Outman, Josh SP OAK 	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	956
Gonzalez, Rey SP TOR	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	957
Gaub, John SP CHC	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	959
Ortega, Anthony SP ANA	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	960
Crow, Aaron SP KC	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	961
Reyes, Anthony SP CLE 	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	963
Jaime, Juan SP ARI 	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	964
Carrillo, Cesar SP HOU	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	966
Reynolds, Greg SP COL	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	970
Trinidad, Polin SP HOU	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	971
Garrison, Steve SP NYY	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	972
Periard, Alex SP MIL	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	973
Luis, Santo SP BOS	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	974
Ortegano, Jose SP ATL	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	976
Ramirez, J.C. SP PHI	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	978
Hurley, Eric SP TEX 	Disco Bush Horticulturists	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	980
Garcia, Christian SP NYY	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	990
Figueroa, Pedro SP OAK	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	991
Arguelles, Noel SP KC 	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	993
Nicasio, Juan SP COL	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	994
McGowan, Dustin SP TOR 	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1002
Pucetas, Kevin SP KC	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1003
Hart, Kevin SP PIT	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1006
Turner, Jacob SP DET	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1010
Escobar, Kelvim SP NYM 	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1013
Mattheus, Ryan SP WAS 	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1014
Martis, Shairon SP WAS	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1015
Flande, Yohan SP PHI 	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1016
Sanchez, Jesus SP PHI	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1017
Cofield, Kyle SP CHW 	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1019
Spoone, Chorye SP BAL	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1021
Everts, Clint SP NYM	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1023
Perez, Luis SP TOR	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1025
