All Outfielders 2022  Season MLB Standard Categories
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	K	SB	CS	AVG	OBP	SLG	Rank	
"Ernie Clement 3B  OAK "	163	19	30	26	4	0	0	6	11	26	0	1	.184	.243	.209	1176
"Zach Reks LF  TEX"	34	3	9	8	1	0	0	3	0	10	0	1	.265	.265	.294	1182
"Dairon Blanco CF  KC"	7	1	2	2	0	0	0	2	0	4	1	0	.286	.286	.286	1187
"Adam Haseley RF  CHW"	21	4	5	5	0	0	0	2	3	7	0	0	.238	.333	.238	1193
"Clint Frazier LF  TEX"	37	4	8	5	3	0	0	1	7	11	1	0	.216	.356	.297	1204
"Ehire Adrianza 3B  ATL"	97	8	17	14	3	0	0	7	11	25	1	0	.175	.264	.206	1210
"Will Benson CF  CIN"	55	8	10	9	1	0	0	3	3	19	0	0	.182	.250	.200	1211
"Brendon Davis RF  DET"	10	2	2	2	0	0	0	0	1	3	1	0	.200	.273	.200	1226
"Elier Hernandez LF  TEX"	33	4	6	4	2	0	0	3	1	15	0	0	.182	.200	.242	1245
"Narciso Crook RF  BOS"	8	1	2	1	1	0	0	2	0	3	0	0	.250	.222	.375	1248
"Willie Calhoun DH  NYY"	52	7	7	3	3	0	1	3	9	8	0	0	.135	.274	.250	1251
"Esteury Ruiz LF  OAK "	35	3	6	4	1	1	0	2	1	7	1	2	.171	.194	.257	1258
"Austin Dean LF  SF"	8	1	3	3	0	0	0	0	1	0	0	0	.375	.444	.375	1261
"Eddy Alvarez RF  MIL"	25	1	4	4	0	0	0	3	0	9	1	0	.160	.154	.160	1262
"Estevan Florial CF  NYY"	31	4	3	3	0	0	0	1	3	13	2	0	.097	.200	.097	1267
"Vinny Capra RF  TOR"	5	2	1	1	0	0	0	0	2	1	0	0	.200	.429	.200	1384
"Cody Thomas LF  OAK"	30	1	8	8	0	0	0	0	2	12	0	0	.267	.312	.267	1394
"Steele Walker LF  DET"	14	1	1	0	0	0	1	1	2	4	0	0	.071	.188	.286	1406
"Alex Dickerson RF  ATL"	33	3	4	3	0	0	1	2	3	9	0	0	.121	.194	.212	1407
"Marcus Wilson LF  BOS"	5	1	1	1	0	0	0	0	1	4	0	0	.200	.333	.200	1409
"Canaan Smith-Njigba LF  PIT"	5	1	1	0	1	0	0	0	1	0	0	0	.200	.429	.400	1409
"Mark Payton LF  CHW"	21	3	3	3	0	0	0	1	4	4	0	0	.143	.280	.143	1419
"Greg Deichmann RF  OAK"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	1425
"Brett Sullivan LF  SD"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	1425
"David Dahl LF  SD"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	1425
"Donovan Casey RF  WAS"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	1425
"Yasel Antuna LF  WAS"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	1425
"Alberto Rodriguez RF  SEA"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	1425
"Corey Ray RF  MIL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	1425
"Allan Cerda CF  CIN"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	1425
"Jhailyn Ortiz RF  PHI "	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	1425
"George Valera RF  CLE "	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	1425
"Everson Pereira CF  NYY "	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	1425
"Alexander Canario CF  CHC "	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	1425
"Ryan Vilade LF  PIT"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	1425
"Jhonkensy Noel RF  CLE"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	1425
"Anthony Alford LF  PIT"	4	0	1	1	0	0	0	0	0	2	0	0	.250	.250	.250	1472
"Michael Hermosillo CF  NYY"	61	7	7	5	2	0	0	4	7	27	1	0	.115	.250	.147	1475
"Ryan Aguilar RF  LAA "	22	2	3	2	1	0	0	2	2	14	0	0	.136	.231	.182	1478
"Ben Deluzio CF  CHC"	20	3	3	2	1	0	0	0	3	5	0	1	.150	.292	.200	1480
"Cal Stevenson CF  OAK"	60	5	10	7	3	0	0	1	8	23	1	1	.167	.261	.217	1482
