All Players   Projections Standard Categories
Avail,Player,INNs,APP,GS,QS,CG,W,L,S,BS,HD,K,BB,H,ERA,WHIP,Rank,
W ,Robert Suarez RP | SD,80,77,0,0,0,5,3,1,0,23,98,32,51,2.36,1.04,440
User Abuser,Kyle Gibson SP | BAL,171,30,30,18,0,9,8,0,0,0,141,44,173,3.79,1.27,441
Sofa Kings,Liam Hendriks RP | CHW ,45,51,0,0,0,4,4,14,3,5,68,9,32,2.80,0.91,444
W ,Drew Smyly SP | CHC ,150,29,29,8,0,10,9,0,0,0,130,42,146,4.02,1.25,452
W ,Zach Plesac SP | CLE,163,29,29,14,0,9,9,0,0,0,122,42,157,3.92,1.22,467
W ,Cole Irvin SP | BAL,183,30,30,16,0,11,11,0,0,0,130,50,186,4.08,1.29,470
W ,James Karinchak RP | CLE,61,67,0,0,0,4,2,9,2,16,89,34,35,2.66,1.13,471
Orange-a-Tangs,Michael Kopech SP | CHW ,138,29,29,9,0,7,8,0,0,0,137,51,117,3.98,1.22,482
W ,Domingo German SP | NYY ,132,26,26,10,0,6,6,0,0,0,117,31,121,3.68,1.15,483
W ,Tyler Wells SP | BAL,137,29,29,7,0,9,8,0,0,0,110,40,123,4.14,1.19,485
W ,Mike Soroka SP | ATL ,136,26,26,10,0,8,7,0,0,0,132,45,132,3.77,1.30,486
W ,James Kaprielian SP | OAK ,141,26,26,9,0,6,9,0,0,0,114,46,121,3.51,1.18,487
Whiteness,David Robertson RP | NYM,61,58,0,0,0,6,2,4,1,8,75,32,39,2.36,1.16,491
W ,Dany Jimenez RP | OAK ,70,72,0,0,0,1,3,24,6,3,74,39,48,3.60,1.24,493
W ,Jimmy Herget RP | LAA,81,68,0,0,0,2,2,8,2,11,79,18,63,2.89,1.00,498
W ,Jose Suarez SP | LAA,129,24,24,4,0,9,9,0,0,0,117,43,123,3.98,1.29,504
W ,JP Sears SP | OAK ,130,26,26,7,0,8,9,0,0,0,95,38,126,3.46,1.26,515
W ,Adam Ottavino RP | NYM,64,79,0,0,0,6,3,4,1,26,81,25,53,3.09,1.22,527
W ,Erik Swanson RP | TOR,53,28,15,4,0,5,4,0,0,1,65,11,39,2.04,0.94,531
W ,Diego Castillo RP | SEA,51,60,0,0,0,4,3,13,3,12,54,18,37,3.35,1.08,532
W ,Ryne Nelson SP | ARI ,140,26,26,11,0,7,9,0,0,0,132,46,136,3.92,1.30,534
W ,Rich Hill SP | PIT ,151,30,30,8,0,7,9,0,0,0,131,49,148,3.93,1.30,552
W ,Bryan Abreu RP | HOU,71,69,0,0,0,3,1,1,0,15,98,31,52,2.41,1.17,554
W ,Shintaro Fujinami SP | OAK,153,29,29,11,0,6,11,0,0,0,146,47,157,3.88,1.33,562
W ,Matt Manning SP | DET ,153,29,29,12,0,6,8,0,0,0,110,51,140,3.65,1.25,563
W ,Domingo Acevedo RP | OAK ,78,88,0,0,0,4,4,6,1,26,73,22,62,3.58,1.08,566
Dirty Pujols,Garrett Whitlock RP | BOS ,137,28,28,9,0,6,6,0,0,0,141,39,143,3.94,1.33,567
W ,Roansy Contreras SP | PIT,145,30,30,5,0,6,9,0,0,0,131,56,139,3.60,1.34,568
W ,Hector Neris RP | HOU,55,63,0,0,0,3,3,7,1,22,67,16,38,3.27,0.98,571
Los Cerveceros,Jason Adam RP | TB,51,59,0,0,0,2,2,1,0,22,61,14,26,1.77,0.78,573
W ,Ryan Tepera RP | LAA,63,70,0,0,0,3,2,8,2,24,63,22,44,3.29,1.05,576
