All Players 3 Year Averages MLB Standard Categories
Player,INNs	APP	GS	QS	CG	W	L	S	BS	HD	K	BB	H	ERA	WHIP	Rank	
"Bailey Ober SP  MIN "	74.0	16	16	2	0	2	3	0	0	0	74	15	70	3.89	1.15	474
"Wade Miley SP  MIL"	71.1	14	13	6	0	5	4	0	0	0	55	24	71	3.53	1.33	475
"Luis Severino SP  NYY "	36.0	8	6	3	0	3	1	0	0	0	40	10	25	3.00	0.97	480
"Yusei Kikuchi SP  TOR "	101.2	23	19	7	0	5	7	0	0	0	111	47	93	4.78	1.38	481
"Matt Wisler RP  DET"	39.1	35	3	0	0	2	3	1	2	7	44	13	29	2.52	1.07	485
"Wandy Peralta RP  NYY"	45.0	46	0	0	0	3	3	3	2	5	38	16	38	3.00	1.20	486
"Tyler Matzek RP  ATL "	45.1	44	0	0	0	3	3	0	1	11	52	25	30	2.98	1.21	491
"Lucas Luetge RP  ATL"	43.1	36	0	0	0	3	2	1	1	3	46	11	43	2.70	1.25	493
"Alex Vesia RP  LAD"	33.0	36	0	0	0	3	1	1	1	9	46	18	20	3.00	1.15	494
"Scott Effross RP  NYY "	35.2	37	0	0	0	2	2	2	1	10	40	8	29	2.78	1.04	496
"Tanner Scott RP  MIA "	45.2	51	0	0	0	3	3	7	3	8	61	31	38	4.14	1.51	500
"Matt Festa RP  SEA "	54.0	53	0	0	0	2	0	2	1	6	64	18	43	4.17	1.13	501
"Jose Suarez SP  LAA"	70.0	16	12	2	0	5	6	0	0	0	63	25	66	4.24	1.30	502
"Emilio Pagan RP  MIN"	49.1	49	0	0	0	3	3	4	6	10	59	18	43	4.56	1.24	504
"Adrian Houser SP  MIL"	100.1	21	19	5	0	6	7	0	0	0	73	44	95	4.13	1.39	505
"Alex Colome RP  WAS"	44.2	47	0	0	0	3	4	11	4	4	35	18	46	4.23	1.43	506
"Craig Stammen RP  SD "	51.0	41	2	0	0	4	2	0	1	5	46	9	50	3.88	1.16	507
"Jake Diekman RP  CHW"	46.2	53	0	0	0	3	2	3	3	14	64	29	36	3.86	1.39	508
"Dylan Bundy SP  MIN"	98.2	21	20	5	0	5	7	0	0	0	83	26	97	4.93	1.25	509
"J.P. Feyereisen RP  LAD "	30.0	28	1	0	0	3	1	1	1	7	28	14	16	2.40	1.00	510
"Dillon Tate RP  BAL "	52.2	47	0	0	0	2	4	3	1	9	41	15	42	3.59	1.08	511
"Steven Matz SP  STL "	76.1	18	15	4	0	6	5	0	0	1	78	21	83	4.95	1.36	512
"James Kaprielian SP  OAK "	85.2	17	16	5	0	4	5	0	0	0	75	34	77	4.20	1.30	513
"Adbert Alzolay RP  CHC"	53.1	14	8	2	0	3	5	0	0	0	59	16	44	4.22	1.12	514
"Matt Moore RP  LAA"	73.1	44	6	0	0	4	3	2	0	8	73	38	64	4.17	1.39	517
"Genesis Cabrera RP  STL"	45.2	43	0	0	0	4	3	1	1	14	47	24	34	3.74	1.27	519
"Tanner Banks RP  CHW"	53.0	35	0	0	0	2	0	0	0	1	49	18	42	3.06	1.13	520
"Chris Martin RP  BOS"	39.0	42	0	0	0	2	2	1	2	9	42	5	36	3.00	1.05	521
