All Relief Pitchers   Projections Standard Categories
Player,INNs	APP	GS	QS	CG	W	L	S	BS	HD	K	BB	H	ERA	WHIP	Rank	
"Kyle Finnegan RP  WAS"	64	77	0	0	0	4	5	8	2	17	75	38	70	4.08	1.69	739
"Ralph Garza RP  MIN"	59	55	0	0	0	3	4	1	0	6	57	27	47	3.66	1.25	742
"Dauri Moreta RP  CIN"	69	85	0	0	0	2	2	1	0	9	70	25	59	3.91	1.22	744
"Jesse Chavez RP  CHC "	46	25	12	3	0	3	5	0	0	0	45	18	38	2.94	1.22	745
"Jose Alvarez RP  SF"	45	59	0	0	0	3	1	1	0	7	31	14	39	2.60	1.18	747
"Dominic Leone RP  SF"	44	53	0	0	0	2	3	1	0	15	41	18	34	2.45	1.18	748
"Yusmeiro Petit RP  OAK"	68	79	0	0	0	3	3	1	0	23	35	11	61	3.84	1.06	749
"Noe Ramirez RP  ARI"	64	68	0	0	0	1	2	0	0	15	54	25	45	3.23	1.09	751
"Jose Ruiz RP  CHW"	52	52	0	0	0	1	2	1	0	5	50	19	39	2.94	1.12	754
"Jalen Beeks RP  TB "	41	20	9	3	0	3	3	0	0	0	45	10	38	3.29	1.17	757
"Tony Watson RP  SF"	43	54	0	0	0	3	2	1	0	19	33	13	30	3.77	1.00	758
"Mike Mayers RP  LAA"	57	60	0	0	0	2	2	1	0	16	76	21	55	3.79	1.33	759
"Richard Bleier RP  MIA"	47	66	0	0	0	2	1	1	0	20	37	6	44	3.06	1.06	760
"Ryan Thompson RP  TB "	41	48	0	0	0	2	2	1	0	15	43	12	35	2.85	1.15	761
"Domingo Acevedo RP  OAK"	68	62	0	0	0	1	1	1	0	7	56	23	54	3.44	1.13	763
"A.J. Minter RP  ATL"	45	53	0	0	0	2	3	0	0	20	52	17	35	3.20	1.16	765
"Josh Tomlin RP  ATL"	54	25	13	4	0	7	4	0	0	0	40	6	61	5.33	1.24	767
"Joakim Soria RP  TOR"	59	65	0	0	0	3	3	1	0	12	57	19	54	4.12	1.24	769
"Jacob Brentz RP  KC"	54	70	0	0	0	3	2	1	0	17	71	34	42	4.00	1.41	771
"T.J. McFarland RP  STL"	51	59	0	0	0	3	2	1	0	21	27	13	46	3.00	1.16	773
"Phil Maton RP  HOU"	54	57	0	0	0	3	1	1	0	7	69	23	51	4.17	1.37	774
"Mychal Givens RP  CIN "	62	67	0	0	0	3	2	1	0	18	68	33	54	3.77	1.40	775
"Yunior Marte RP  SF"	48	48	0	0	0	3	1	1	0	8	43	16	40	3.94	1.17	777
"Kyle Barraclough RP  LAA"	55	50	0	0	0	4	1	4	1	7	69	28	52	5.07	1.45	779
"Chasen Shreve RP  NYM "	69	70	0	0	0	3	3	1	0	13	70	39	58	3.78	1.41	780
"Luke Jackson RP  ATL"	52	58	0	0	0	2	1	1	0	25	53	23	45	3.12	1.31	782
"Sam Moll RP  OAK"	66	57	0	0	0	2	1	1	0	7	57	26	54	3.82	1.21	783
"David Robertson RP  CHC "	52	49	0	0	0	1	1	0	0	8	57	16	44	3.29	1.15	784
"Jandel Gustave RP  MIL"	60	53	0	0	0	1	2	1	0	6	45	17	48	3.45	1.08	788
"Keegan Akin SP  BAL "	127	26	26	3	0	4	11	0	0	0	104	46	125	4.61	1.35	789
"Jeurys Familia RP  PHI "	48	53	0	0	0	4	4	1	0	10	56	25	45	3.94	1.46	790
"Adrian Sampson SP  CHC "	48	25	12	4	0	3	5	0	0	0	43	15	43	3.56	1.21	791
"Chris Mazza RP  TB"	63	25	15	3	0	4	3	0	0	1	48	20	58	4.29	1.24	796
"Dylan Coleman RP  KC"	51	42	0	0	0	2	1	0	0	6	52	16	46	3.53	1.22	798
"Miguel Castro RP  NYM"	47	51	0	0	0	2	3	1	0	8	54	27	35	3.45	1.32	799
"Domingo Tapia RP  KC"	46	56	0	0	0	3	2	1	0	11	42	24	40	3.13	1.39	804
"Luis Garcia RP  SD"	48	55	0	0	0	1	1	2	0	18	50	17	39	3.75	1.17	806
"Jake Woodford RP  STL "	44	22	10	2	0	4	4	0	0	0	30	14	39	3.89	1.20	807
"Michael King RP  NYY"	57	23	11	2	0	3	6	0	0	0	53	21	51	4.11	1.26	808
"Tyler Beede RP  SF "	45	23	11	3	0	4	3	0	0	1	42	14	39	4.80	1.18	810
"Amir Garrett RP  KC "	53	80	0	0	0	1	2	10	2	13	80	31	49	5.60	1.51	812
"Joe Jimenez RP  DET"	44	56	0	0	0	5	1	1	0	7	56	27	34	5.73	1.39	813
"Seranthony Dominguez RP  PHI"	40	40	0	0	0	3	2	1	0	6	39	14	35	4.05	1.23	814
"Brusdar Graterol RP  LAD "	40	46	0	0	0	2	1	1	0	8	29	10	33	3.38	1.07	816
"Kyle Zimmer RP  KC "	68	68	0	0	0	5	1	1	0	13	67	40	60	4.76	1.47	818
"Hirokazu Sawamura RP  BOS "	56	73	0	0	0	4	1	1	0	13	77	41	57	3.70	1.75	820
"Ross Stripling SP  TOR "	50	25	12	2	0	4	4	0	0	0	42	14	47	4.68	1.22	821
