All Starting Pitchers   Projections Standard Categories
Player,INNs	APP	GS	QS	CG	W	L	S	BS	HD	K	BB	H	ERA	WHIP	Rank	
"Glenn Otto SP  TEX"	57	25	15	3	0	3	5	0	0	1	61	20	57	5.37	1.35	903
"Dustin May SP  LAD "	15	8	4	1	0	1	0	0	0	0	15	4	10	2.40	0.93	912
"Brandon Finnegan SP  CHW "	24	17	4	1	0	2	2	0	0	0	22	8	21	4.12	1.21	914
"Michael Wacha SP  BOS"	60	24	14	2	0	2	4	0	0	0	60	14	65	5.10	1.32	915
"Trevor Cahill SP  PIT"	55	25	15	2	0	3	6	0	0	1	53	22	52	5.40	1.35	918
"Logan Allen SP  CLE"	49	25	12	3	0	4	5	0	0	0	33	16	49	5.33	1.33	921
"Chad Kuhl SP  COL "	47	25	13	3	0	3	6	0	0	1	46	26	43	4.79	1.47	922
"Paul Blackburn SP  OAK"	44	23	11	2	0	3	4	0	0	1	34	13	46	4.91	1.34	923
"Reiss Knehr SP  SD"	31	19	6	1	0	3	3	0	0	0	25	17	26	4.64	1.39	924
"Julio Teheran SP  DET "	54	25	14	2	0	4	4	0	0	1	42	22	50	5.67	1.33	925
"Daniel Castano SP  MIA"	29	17	5	1	0	2	2	0	0	0	19	10	27	3.72	1.28	926
"Charlie Barnes SP  MIN"	53	25	14	3	0	3	5	0	0	1	40	20	53	4.75	1.38	927
"Wil Crowe SP  PIT"	128	27	27	3	0	4	9	0	0	0	105	53	139	4.78	1.50	928
"Ryan Feltner SP  COL"	43	23	11	3	0	3	5	0	0	1	47	19	44	5.23	1.47	930
"Keegan Thompson RP  CHC "	41	22	9	2	0	2	3	0	0	0	46	26	40	3.73	1.61	931
"Bryse Wilson SP  PIT"	55	25	15	4	0	4	5	0	0	1	37	17	60	5.07	1.40	932
"Martin Perez SP  TEX "	55	25	15	3	0	4	5	0	0	0	45	20	63	4.91	1.51	933
"Jaime Barria SP  LAA"	54	25	13	4	0	3	4	0	0	1	36	17	60	4.33	1.43	935
"Jeff Hoffman RP  CIN"	85	64	0	0	0	3	2	1	0	9	88	48	84	4.98	1.55	938
"Joan Adon SP  WAS"	30	19	6	2	0	2	3	0	0	0	33	13	30	4.50	1.43	939
"Chase De Jong SP  PIT "	54	25	15	2	0	3	6	0	0	1	53	22	55	5.33	1.43	940
"Mike Foltynewicz SP  TEX"	60	25	15	7	0	2	5	0	0	1	41	15	56	5.25	1.18	941
"James Paxton SP  BOS "	27	13	7	2	0	2	2	0	0	0	30	10	26	5.00	1.33	942
"Riley O'Brien SP  CIN"	35	20	8	2	0	2	3	0	0	0	35	16	33	4.63	1.40	943
"Vladimir Gutierrez SP  CIN "	48	48	0	0	0	2	2	0	0	8	35	18	46	4.50	1.33	944
"Taylor Widener SP  ARI"	50	25	13	3	0	2	3	0	0	0	55	28	47	4.68	1.50	945
"Peter Lambert SP  COL"	48	25	13	4	0	3	5	0	0	1	49	19	52	5.25	1.48	948
"Tyler Glasnow SP  TB "	11	5	3	1	0	1	1	0	0	0	14	4	7	3.27	1.00	952
"Brent Honeywell SP  OAK "	25	23	0	0	0	1	1	0	0	4	24	9	21	4.32	1.20	956
"Miguel Yajure SP  PIT "	48	22	11	3	0	2	4	0	0	0	47	20	46	5.25	1.38	961
"Andrew Albers SP  MIN"	26	16	4	1	0	2	2	0	0	0	23	10	26	4.85	1.38	975
"Mike Soroka SP  ATL "	18	9	5	2	0	1	1	0	0	0	15	6	15	4.00	1.17	978
"Garrett Richards SP  BOS "	56	25	15	3	0	3	5	0	0	1	48	24	62	4.82	1.54	979
"Steven Brault SP  PIT "	46	25	12	1	1	2	4	0	0	1	36	21	44	4.70	1.41	984
"Humberto Castellanos SP  ARI"	59	28	15	3	0	3	5	0	0	0	43	20	63	5.19	1.41	985
"Zach Davies SP  CHC"	47	25	12	3	0	3	5	0	0	1	37	21	48	5.17	1.47	986
"Spencer Turnbull SP  DET "	10	5	3	1	0	1	1	0	0	0	9	3	8	3.60	1.10	988
"Joey Lucchesi SP  NYM "	9	5	2	0	0	1	1	0	0	0	9	3	8	4.00	1.22	996
"Kenta Maeda SP  MIN "	7	3	2	1	0	1	0	0	0	0	7	2	6	3.86	1.14	997
"Anthony Kay SP  TOR "	28	17	4	1	0	2	1	0	0	0	30	15	29	5.14	1.57	998
"Ross Detwiler RP  SD"	8	9	0	0	0	1	0	0	0	1	9	3	7	4.50	1.25	1002
"Daniel Lynch SP  KC"	45	23	11	2	0	3	5	0	0	1	36	19	50	5.40	1.53	1006
"Jackson Kowar SP  KC"	42	22	10	2	0	2	4	0	0	1	40	18	40	6.00	1.38	1010
"Alex Wells SP  BAL"	36	20	8	2	0	2	3	0	0	0	31	13	39	5.50	1.44	1011
"Sam Hentges RP  CLE"	69	49	0	0	0	2	1	1	0	7	65	27	75	5.61	1.48	1022
"Matt Harvey SP  BAL"	51	25	13	2	0	3	7	0	0	1	41	14	61	6.00	1.47	1028
"Tyler Ivey SP  HOU"	9	9	0	0	0	0	0	0	0	2	9	3	8	4.00	1.22	1033
"Sean Nolin SP  WAS"	31	19	0	0	0	1	1	0	0	4	29	14	35	4.64	1.58	1037
"Humberto Mejia SP  ARI"	22	16	3	1	0	1	2	0	0	0	23	9	25	5.32	1.55	1039
"Jon Heasley SP  KC"	9	9	0	0	0	0	0	0	0	1	8	3	8	4.00	1.22	1043
"Matt Moore SP  TEX "	28	19	0	0	0	1	1	0	0	3	24	13	27	5.46	1.43	1047
"Jose Urena SP  DET"	31	17	5	1	0	2	2	0	0	0	21	13	34	5.52	1.52	1049
"Wade LeBlanc SP  STL"	50	25	13	1	0	1	2	0	0	0	27	16	53	4.68	1.38	1053
