All Players   Projections Standard Categories
Player,INNs	APP	GS	QS	CG	W	L	S	BS	HD	K	BB	H	ERA	WHIP	Rank	
"Ryne Nelson SP  ARI "	160	29	29	9	0	8	8	0	0	0	111	46	146	3.83	1.20	493
"Andrew Heaney SP  TEX"	124	26	26	6	0	7	5	0	0	0	132	48	117	3.41	1.33	498
"Miguel Diaz RP  DET"	57	51	0	0	0	4	1	1	0	10	69	24	33	0.95	1.00	499
"A.J. Minter RP  ATL"	66	77	0	0	0	3	3	12	2	32	89	21	57	3.27	1.18	504
"Bryan Abreu RP  HOU"	68	70	0	0	0	2	1	1	0	22	95	27	42	1.85	1.01	509
"Jameson Taillon SP  CHC"	153	28	28	10	0	10	7	0	0	0	132	42	152	4.53	1.27	511
"Ross Stripling SP  OAK "	134	26	26	9	0	4	8	0	0	0	105	24	122	3.49	1.09	517
"Kyle Hendricks SP  CHC "	164	29	29	13	0	8	9	0	0	0	120	39	164	4.06	1.24	524
"Colin Rea SP  MIL"	165	32	32	6	0	6	9	0	0	0	149	44	157	4.31	1.22	528
"Shelby Miller RP  DET"	58	28	16	5	0	5	5	0	0	0	68	27	30	2.17	0.98	534
"Hector Neris RP  CHC "	65	74	0	0	0	4	3	6	1	31	84	29	47	2.91	1.17	536
"Tylor Megill SP  NYM "	150	29	29	7	0	12	8	0	0	0	130	51	158	4.50	1.39	537
"Tyler Anderson SP  LAA"	162	29	29	13	0	8	6	0	0	0	134	61	149	4.11	1.30	539
"Michael Kopech SP  CHW "	144	30	30	8	0	7	10	0	0	0	141	68	122	4.00	1.32	543
"Jason Adam RP  TB "	62	70	0	0	0	3	1	1	0	23	76	20	36	2.47	0.90	547
"J.P. Feyereisen RP  LAD "	37	42	0	0	0	3	1	1	0	16	40	8	11	0.00	0.51	549
"Joel Payamps RP  MIL"	82	76	0	0	0	5	5	1	0	27	86	22	75	2.85	1.18	552
"MacKenzie Gore SP  WAS"	132	25	25	8	0	7	8	0	0	0	138	50	130	3.89	1.36	560
"Graham Ashcraft SP  CIN "	164	29	29	18	0	9	8	0	0	0	125	56	161	4.12	1.32	561
"Logan Taylor Allen SP  CLE "	148	29	29	9	0	8	10	0	0	0	136	54	151	3.89	1.39	564
"Kevin Ginkel RP  ARI "	63	64	0	0	0	4	1	4	1	13	76	25	48	2.57	1.16	566
"Jeff Hoffman RP  PHI"	60	63	0	0	0	6	1	1	0	11	83	26	45	3.15	1.18	567
"Bowden Francis RP  TOR "	49	22	9	3	0	5	3	0	0	0	48	11	31	1.84	0.86	568
"Ian Hamilton RP  NYY"	84	62	0	0	0	3	4	1	0	9	98	37	64	2.68	1.20	573
"Paul Blackburn SP  OAK"	164	30	30	8	0	5	12	0	0	0	148	56	160	3.90	1.32	581
"David Robertson RP  TEX "	66	65	0	0	0	4	3	4	1	15	88	31	53	3.14	1.27	591
"Aroldis Chapman RP  PIT "	64	78	0	0	0	5	3	5	1	20	112	47	48	3.80	1.48	592
"Clayton Kershaw SP  LAD "	55	10	10	5	0	5	2	0	0	1	54	14	41	2.45	1.00	595
"Adam Ottavino RP  NYM "	66	79	0	0	0	3	5	8	2	20	78	29	54	3.14	1.26	596
"Luis Severino SP  NYM "	133	26	26	9	0	7	7	0	0	0	129	40	134	4.40	1.31	599
"Erik Swanson RP  TOR"	54	27	15	5	0	5	4	0	0	2	66	17	42	2.67	1.09	600
"Jordan Lyles SP  KC"	172	29	29	7	2	9	12	0	0	0	122	51	169	4.61	1.28	601
"Jay Jackson RP  MIN "	53	52	0	0	0	4	2	1	0	5	52	17	35	2.21	0.98	602
"Abner Uribe RP  MIL"	70	80	0	0	0	3	1	1	0	20	94	51	44	2.06	1.36	603
"Scott Barlow RP  CLE"	69	72	0	0	0	4	4	8	2	10	79	30	58	3.78	1.28	604
"Steven Matz SP  STL "	132	26	26	6	0	7	8	0	0	0	125	42	138	4.09	1.36	605
"Kirby Yates RP  TEX"	64	73	0	0	0	6	4	1	0	12	92	44	42	3.66	1.34	606
"Mike Soroka SP  CHW "	134	26	26	8	0	7	10	0	0	0	127	49	131	4.30	1.34	608
"Touki Toussaint SP  CHW"	124	26	26	3	0	6	11	0	0	0	119	60	102	4.14	1.31	610
"Luis Medina SP  OAK"	150	29	29	6	0	5	12	0	0	0	140	60	137	4.14	1.31	611
"Colin Poche RP  TB"	52	62	0	0	0	5	2	4	1	23	56	21	40	3.12	1.17	613
"Shawn Armstrong RP  TB"	65	60	0	0	0	2	1	2	0	8	68	15	54	2.49	1.06	615
"Chris Martin RP  BOS"	56	64	0	0	0	2	1	3	1	22	67	8	57	1.93	1.16	617
"Blake Treinen RP  LAD "	53	53	0	0	0	3	2	9	2	9	52	20	38	3.57	1.09	619
"Brusdar Graterol RP  LAD"	60	66	0	0	0	2	2	1	0	20	45	11	47	1.65	0.97	620
"Brock Stewart RP  MIN"	54	69	0	0	0	1	1	1	0	24	86	24	42	1.50	1.22	621
"Matt Strahm RP  PHI"	53	61	0	0	0	5	2	1	0	16	70	16	45	3.57	1.15	622
"Andrew Kittredge RP  STL"	49	57	0	0	0	5	3	7	1	5	44	7	51	3.49	1.18	623
"Emilio Pagan RP  CIN "	72	71	0	0	0	5	2	1	0	10	88	29	61	3.88	1.25	625
"Peter Lambert RP  COL"	144	27	27	9	0	9	10	0	0	0	116	47	149	4.56	1.36	627
"Josh Sborz RP  TEX "	84	78	0	0	0	5	5	1	0	26	119	31	69	5.25	1.19	628
"Brady Singer SP  KC "	165	28	28	12	0	7	11	0	0	0	140	50	171	4.53	1.34	629
"Tyler Holton RP  DET"	59	49	0	0	0	2	1	1	0	11	57	14	44	2.44	0.98	637
"Phil Maton RP  TB "	67	77	0	0	0	3	2	1	0	12	78	25	53	3.22	1.16	641
"Chase Silseth SP  LAA"	111	25	25	4	0	7	6	0	0	0	113	43	107	4.54	1.35	642
"Will Smith RP  KC "	55	64	0	0	0	1	4	24	6	3	73	25	58	5.56	1.51	647
"JoJo Romero RP  STL"	78	73	0	0	0	5	4	1	0	8	102	30	72	4.50	1.31	652
"Patrick Corbin SP  WAS"	162	29	29	12	0	8	14	0	0	0	116	49	175	4.28	1.38	653
"Tommy Kahnle RP  NYY"	65	71	0	0	0	1	2	1	0	22	74	27	39	3.05	1.02	654
"Martin Perez SP  PIT"	171	29	29	17	0	8	9	0	0	0	129	70	180	4.05	1.46	660
"Tyler Wells SP  BAL "	47	24	12	4	0	5	4	0	0	1	40	12	33	3.45	0.96	661
"Hunter Harvey RP  WAS"	66	70	0	0	0	2	3	1	0	26	92	19	62	3.41	1.23	662
"Jhony Brito SP  SD"	131	29	29	4	0	9	9	0	0	0	110	44	138	4.81	1.39	664
"Seranthony Dominguez RP  PHI"	45	57	0	0	0	4	3	9	2	19	56	22	45	3.60	1.49	665
"Orion Kerkering RP  PHI"	60	74	0	0	0	6	2	1	0	16	69	29	61	3.15	1.50	667
"Justin Topa RP  MIN "	64	77	0	0	0	4	2	1	0	24	59	19	61	2.95	1.25	669
"Woo-Suk Go RP  SD"	73	73	0	0	0	4	2	6	1	13	71	26	69	4.19	1.30	673
"Griffin Jax RP  MIN"	48	25	13	4	0	5	4	0	0	2	54	14	41	3.56	1.15	676
"Garrett Whitlock RP  BOS "	129	26	26	8	0	7	7	0	0	0	126	33	147	4.74	1.40	678
"Gregory Santos RP  SEA "	71	71	0	0	0	2	1	9	2	8	74	20	78	3.68	1.38	685
"Josiah Gray SP  WAS"	164	30	30	12	0	8	11	0	0	0	149	69	168	4.77	1.45	687
"Chris Devenski RP  TB "	60	58	0	0	0	6	2	2	0	14	58	14	56	4.95	1.17	688
"John Brebbia RP  CHW "	61	81	0	0	0	1	2	17	3	3	76	24	68	4.57	1.51	690
"Garrett Cleavinger RP  TB "	44	43	0	0	0	2	0	1	0	4	63	18	26	3.48	1.00	702
"Luis Ortiz SP  PIT "	147	29	29	6	0	7	9	0	0	0	105	61	156	3.80	1.48	703
"Brock Burke RP  TEX"	75	61	0	0	0	5	4	1	0	14	79	18	82	4.20	1.33	705
"Tanner Banks RP  CHW"	109	71	0	0	0	5	2	1	0	11	105	35	111	4.54	1.34	706
"Enyel De Los Santos RP  SD"	61	68	0	0	0	3	1	1	0	13	65	24	50	3.39	1.21	707
"Trevor Stephan RP  CLE"	62	70	0	0	0	3	4	1	0	28	74	22	56	3.63	1.26	711
"Joe Jimenez RP  ATL"	63	73	0	0	0	1	2	1	0	15	89	17	61	3.43	1.24	715
"Javier Assad RP  CHC "	63	25	13	4	0	5	3	0	0	1	59	27	59	3.29	1.37	716
"Austin Gomber SP  COL "	160	30	30	14	0	9	11	0	0	0	105	46	175	4.72	1.38	718
"Dauri Moreta RP  PIT"	59	62	0	0	0	4	1	1	0	6	89	28	50	4.88	1.32	721
"Trevor Megill RP  MIL"	72	71	0	0	0	4	2	1	0	8	106	27	80	4.38	1.49	722
"Dillon Tate RP  BAL "	47	50	0	0	0	2	2	4	1	13	42	11	40	3.25	1.09	723
"Tyler Alexander RP  TB "	58	25	13	3	0	6	5	0	0	0	45	10	58	4.50	1.17	724
"Nick Anderson RP  KC"	53	56	0	0	0	3	2	2	0	26	64	16	53	3.57	1.30	728
"Tom Cosgrove RP  SD"	47	60	0	0	0	1	1	1	0	8	46	20	32	1.92	1.11	729
"Xzavion Curry RP  CLE"	76	42	0	0	0	6	2	1	0	8	50	24	76	4.03	1.32	732
"Will Vest RP  DET"	63	68	0	0	0	3	2	1	0	13	78	21	63	3.86	1.33	734
"Sam Hentges RP  CLE"	53	58	0	0	0	3	1	1	0	15	63	19	50	3.40	1.30	737
"Matt Manning SP  DET "	51	25	13	4	0	4	4	0	0	1	35	14	41	3.53	1.08	741
"Wandy Peralta RP  SD "	56	71	0	0	0	2	1	4	1	21	58	29	46	3.21	1.34	744
"Alex Cobb SP  SF "	72	13	13	5	1	3	4	0	0	0	65	15	74	3.75	1.24	749
"Ryan Yarbrough RP  LAD"	59	24	12	4	0	6	5	0	0	0	43	11	62	4.42	1.24	750
