All Outfielders 2011 MLB Standard Stats																		
Player	Action	Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank
Sherlock, Tim RF ARI	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1559
Clevlen, Brent RF ATL	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1566
Duncan, Chris LF WAS	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1580
Owings, Jon LF ATL	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1582
Freeman, Choo CF LAD	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1584
Senreiso, Juan LF TEX	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1587
Sucre, Antonio LF PIT	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1600
Carter, Sam LF SD	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1605
Brown, Emil LF NYM	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1606
Armitage, Jonathan LF SF	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1614
Knoedler, Jason LF DET	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1615
Coats, Buck CF WAS	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1627
Haerther, Cody LF TOR	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1628
Leandro, Francisco LF TB	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1648
Wright, Ty LF CHC	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1664
Sadler, Ray LF HOU	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1683
