All Starting Pitchers 2011 MLB Standard Stats																
Player	Action	Team	INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	Rank
Westbrook, Jake SP STL	-	Free Agent	183.3	33	13	0	12	9	0	0	104	73	208	4.664	1.5327	544
Cobb, Alex SP TB 	-	Free Agent	52.7	9	6	0	3	2	0	0	37	21	49	3.418	1.3291	547
Minor, Mike SP ATL	-	Free Agent	82.7	15	5	0	5	3	0	0	77	30	93	4.137	1.4879	551
Wells, Randy SP CHC	-	Free Agent	135.3	23	9	2	7	6	0	0	82	47	141	4.988	1.3892	552
Volstad, Chris SP CHC 	-	Free Agent	165.7	29	15	0	5	13	0	0	117	49	187	4.889	1.4245	553
Marquis, Jason SP MIN 	-	Free Agent	132.0	23	13	1	8	6	0	0	76	43	154	4.432	1.4924	554
Young, Chris SP NYM 	-	User Abuser	24.0	4	2	0	1	0	0	0	22	11	12	1.875	0.9583	555
Ross, Tyson SP OAK	-	Free Agent	36.0	6	4	0	3	3	0	0	24	13	33	2.750	1.2778	568
Wang, Chien-Ming SP WAS 	-	Whiteness	62.3	11	4	0	4	3	0	0	25	13	67	4.043	1.2834	569
Liriano, Francisco SP MIN 	-	Evil Empire	134.3	24	12	1	9	10	0	0	112	75	125	5.092	1.4888	576
Eveland, Dana SP BAL 	-	Free Agent	29.7	5	2	0	3	2	0	0	16	6	28	3.034	1.1461	583
Pelfrey, Mike SP NYM	-	Free Agent	193.7	33	15	2	7	13	0	0	105	65	220	4.740	1.4716	586
Francis, Jeff SP KC 	-	Free Agent	183.0	31	16	1	6	16	0	0	91	39	224	4.820	1.4372	606
Williams, Jerome SP LAA 	-	Free Agent	44.0	6	4	0	4	0	0	0	28	15	45	3.682	1.3636	607
Carmona, Fausto SP CLE 	-	Free Agent	188.7	32	15	0	7	15	0	0	109	60	205	5.247	1.4046	612
Lowe, Derek SP CLE	-	Free Agent	187.0	34	14	0	9	17	0	0	137	70	212	5.053	1.5080	614
Coke, Phil SP DET	-	Disco Bush Horticulturists	108.7	14	5	0	3	9	1	1	69	40	118	4.472	1.4540	625
LeBlanc, Wade SP MIA	-	Free Agent	79.7	14	7	0	5	6	0	0	51	28	84	4.632	1.4059	627
Delgado, Randall SP ATL	-	Free Agent	35.0	7	1	0	1	1	0	0	18	14	29	2.829	1.2286	629
Russell, James SP CHC 	-	Free Agent	67.7	5	0	0	1	6	0	2	43	14	76	4.123	1.3300	631
Hunter, Tommy SP BAL	-	Free Agent	84.7	11	2	0	4	4	0	1	45	15	100	4.677	1.3583	632
Harden, Rich SP OAK	-	User Abuser	82.7	15	7	0	4	4	0	0	91	31	87	5.117	1.4274	634
Lopez, Rodrigo SP CHC	-	Free Agent	97.7	16	6	0	6	6	0	0	54	29	116	4.423	1.4846	639
Mortensen, Clayton SP COL	-	Free Agent	58.3	6	3	0	2	4	0	0	30	24	55	3.857	1.3543	642
Hensley, Clay SP MIA 	-	Free Agent	67.7	9	1	0	6	7	0	2	46	30	62	5.187	1.3596	652
Outman, Josh SP OAK	-	Free Agent	58.3	9	6	0	3	5	0	0	35	23	62	3.703	1.4571	656
Wood, Travis SP CHC 	-	Free Agent	106.0	18	10	0	6	6	0	0	76	40	118	4.840	1.4906	667
Simon, Alfredo SP BAL	-	Whiteness	115.7	16	7	0	4	9	0	0	83	40	128	4.902	1.4524	677
Peacock, Brad SP OAK 	-	Free Agent	12.0	2	0	0	2	0	0	1	4	6	7	0.750	1.0833	685
Duensing, Brian SP MIN 	-	Free Agent	161.7	28	14	1	9	14	0	0	115	52	193	5.233	1.5155	690
Huff, David SP CLE	-	Free Agent	50.7	10	3	0	2	6	0	0	36	17	55	4.085	1.4211	692
Gomez, Jeanmar SP CLE	-	Sofa Kings	58.3	10	4	0	5	3	0	0	31	15	73	4.474	1.5086	715
Eovaldi, Nate SP LAD	-	Free Agent	34.7	6	3	0	1	2	0	0	23	20	28	3.635	1.3846	717
Milone, Tommy SP OAK 	-	Free Agent	26.0	5	1	0	1	0	0	0	15	4	28	3.808	1.2308	718
Rodriguez, Aneury SP HOU	-	Free Agent	85.3	8	2	0	1	6	0	0	64	32	83	5.273	1.3477	720
Braden, Dallas SP OAK 	-	Want-a-be Ghetto All Stars	18.0	3	1	0	1	1	0	0	15	5	18	3.000	1.2778	721
Garland, Jon SP LAD	-	Free Agent	54.0	9	7	1	1	5	0	0	28	20	55	4.333	1.3889	732
Hand, Brad SP MIA	-	Free Agent	60.0	12	3	0	1	8	0	0	38	35	53	4.200	1.4667	739
Blackburn, Nick SP MIN	-	User Abuser	148.3	26	12	1	7	10	0	0	76	54	183	4.490	1.5978	752
Happ, J.A. SP HOU	-	Free Agent	156.3	28	11	0	6	15	0	0	134	83	157	5.354	1.5352	771
Sosa, Henry SP HOU	-	Free Agent	53.3	10	5	0	3	5	0	0	38	23	54	5.231	1.4437	787
Lyles, Jordan SP HOU	-	Free Agent	94.0	15	6	0	2	8	0	0	67	26	107	5.362	1.4149	788
Parker, Jarrod SP OAK 	-	Orange-a-Tangs	5.7	1	0	0	0	0	0	0	1	1	4	0.000	0.8824	795
Lincoln, Brad SP PIT 	-	Free Agent	47.7	8	5	0	2	3	0	0	29	16	54	4.720	1.4685	799
Pomeranz, Drew SP COL	-	Free Agent	18.3	4	0	0	2	1	0	0	13	5	19	5.400	1.3091	807
Furbush, Charlie SP SEA	-	Free Agent	85.3	12	2	0	4	10	0	0	67	30	97	5.484	1.4883	811
Godfrey, Graham SP OAK	-	Free Agent	25.0	4	1	0	1	2	0	0	13	5	32	3.960	1.4800	818
Matsuzaka, Daisuke SP BOS 	-	Free Agent	37.3	7	2	0	3	3	0	0	26	23	32	5.304	1.4732	820
Miley, Wade SP ARI	-	Free Agent	40.0	7	4	0	4	2	0	0	25	18	48	4.500	1.6500	821
Pineiro, Joel SP LAA	-	Free Agent	145.7	24	9	0	7	7	0	0	62	38	182	5.128	1.5103	842
Blanton, Joe SP PHI	-	Free Agent	41.3	8	2	0	1	2	0	0	35	9	52	5.008	1.4758	846
Schwinden, Chris SP NYM	-	Free Agent	21.0	4	1	0	0	2	0	0	17	6	23	4.714	1.3810	862
Sanabia, Alex SP MIA	-	Free Agent	11.0	2	1	0	0	0	0	0	8	3	13	3.273	1.4545	870
Zito, Barry SP SF	-	Free Agent	53.7	9	4	0	3	4	0	0	32	24	51	5.870	1.3975	879
Willis, Dontrelle SP PHI 	-	Free Agent	75.7	13	9	0	1	6	0	0	57	37	78	4.996	1.5198	897
Hughes, Phil SP NYY	-	Blue Crew	74.7	14	7	1	5	5	0	0	47	27	84	5.786	1.4866	907
Teheran, Julio SP ATL	-	Titty`s Warriors	19.7	3	0	0	1	1	0	0	10	8	21	5.034	1.4746	925
Duke, Zach SP ARI	-	Free Agent	76.7	9	3	0	3	4	1	0	32	19	101	4.930	1.5652	941
Volquez, Edinson SP SD 	-	Free Agent	108.7	20	6	0	5	7	0	0	104	65	106	5.715	1.5736	972
Archer, Chris SP TB	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	985
Naylor, Drew SP PHI	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	990
