All First Basemen 2011 MLB Standard Stats																		
Player	Action	Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank
Duncan, Eric 1B COL	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2421
D'Antona, Jamie 1B MIA	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2467
Singleton, Jonathan 1B HOU	-	Floaters and Sinkers	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2472
Cannon, Chip 1B TOR	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2492
Paulsen, Ben 1B COL	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2517
Corley, Brad 1B PIT	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2528
Marrero, Christian 1B CHW	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2559
Roberson, Ryan 1B DET	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2599
Barthelemy, Ryan 1B PHI	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2605
Casto, Kory 1B ARI	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2614
Caligiuri, Jay 1B NYM	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2635
Smith, Curt 1B STL	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2661
Paulk, Michael 1B COL	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2683
Carroll, Swain 1B SD	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2693
Lindsey, John 1B LAD	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2706
McGuiness, Christopher 1B TEX	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2722
Borchering, Bobby 1B ARI	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2724
Dunlap, Cory 1B LAD	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2733
Fernandez-Oliva, Carlos 1B BOS	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2755
Phelps, Josh 1B CLE	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2772
