All Outfielders 3 Year Averages MLB Standard Stats
Player,Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank	
"Hall, Bill RF LAA"	Free Agent	179	23	42	26	8	1	7	20	17	58	4	1	0.2346	0.3030	0.4078	577
"Maxwell, Justin CF HOU"	Free Agent	140	21	29	15	6	1	7	22	19	52	5	2	0.2071	0.3043	0.4143	587
"Harrison, Josh 2B PIT"	Free Agent	222	28	56	39	11	4	2	16	6	30	6	2	0.2523	0.2821	0.3649	591
"Baker, Jeff RF TEX"	Free Agent	198	22	52	35	12	1	4	23	12	48	2	0	0.2626	0.3033	0.3939	597
"Nix, Jayson 3B NYY"	Free Agent	215	24	47	29	11	0	7	23	15	61	4	2	0.2186	0.2809	0.3674	601
"Carpenter, Matt 1B STL "	Free Agent	156	22	44	27	12	2	3	23	19	34	0	0	0.2821	0.3591	0.4423	609
"Cain, Lorenzo CF KC "	Free Agent	130	16	37	26	7	1	3	15	8	29	6	0	0.2846	0.3262	0.4231	610
"Kelly, Don LF DET"	Free Agent	203	26	47	35	5	1	6	21	12	32	2	0	0.2315	0.2798	0.3547	613
"Nady, Xavier LF KC"	Free Agent	225	24	53	38	10	0	5	27	13	56	1	0	0.2356	0.2857	0.3467	617
"Moss, Brandon 1B OAK"	Orange-a-Tangs	99	17	27	14	6	0	7	18	9	33	0	0	0.2727	0.3364	0.5455	628
"Spilborghs, Ryan LF TEX"	Free Agent	180	21	46	32	9	1	4	20	19	44	2	2	0.2556	0.3317	0.3833	632
"Bogusevic, Brian RF CHC"	Free Agent	182	22	41	27	9	1	4	15	20	49	7	2	0.2253	0.3107	0.3516	634
"Herrera, Elian OF LAD"	Free Agent	187	26	47	35	10	1	1	17	23	50	4	2	0.2513	0.3396	0.3316	640
"Paul, Xavier CF CIN"	Free Agent	150	18	39	30	6	2	1	13	10	35	8	3	0.2600	0.3043	0.3467	641
"Kotsay, Mark RF SD"	Free Agent	234	19	59	41	13	1	4	25	21	26	1	2	0.2521	0.3125	0.3675	643
"Diaz, Matt RF NYY "	Free Agent	194	18	49	33	12	1	3	21	11	39	3	1	0.2526	0.2981	0.3711	652
"Donald, Jason 3B CIN"	Free Agent	184	23	47	34	9	2	2	14	11	48	4	1	0.2554	0.3065	0.3587	654
"Crowe, Trevor LF HOU"	Free Agent	157	18	39	29	8	1	1	13	11	27	8	2	0.2484	0.3018	0.3312	657
"Rowand, Aaron CF MIA"	Free Agent	221	25	51	34	11	1	5	18	9	53	2	2	0.2308	0.2785	0.3575	659
"Fuld, Sam LF TB"	Free Agent	145	19	34	24	7	2	1	12	14	23	9	3	0.2345	0.3063	0.3310	661
"Carp, Mike LF BOS "	Free Agent	164	15	41	27	8	0	6	22	15	45	0	1	0.2500	0.3187	0.4085	668
"Downs, Matt 1B MIA"	Free Agent	158	17	37	21	10	0	6	21	11	35	1	1	0.2342	0.2989	0.4114	669
"Lombardozzi, Stephen 2B WAS "	Free Agent	208	22	56	44	8	2	2	14	10	25	2	2	0.2692	0.3122	0.3558	671
"Maier, Mitch CF BOS"	Free Agent	177	23	44	32	7	3	2	18	22	41	2	1	0.2486	0.3284	0.3559	674
"Brown, Domonic RF PHI "	Orange-a-Tangs	144	19	34	21	8	1	4	19	17	31	2	1	0.2361	0.3171	0.3889	677
"Mastroianni, Darin CF MIN "	Free Agent	82	11	20	15	2	1	2	8	9	23	10	2	0.2439	0.3187	0.3659	685
"Valdespin, Jordany LF NYM "	Free Agent	96	14	23	15	4	0	4	13	5	22	5	2	0.2396	0.2843	0.4062	687
"Ciriaco, Pedro 3B BOS"	Free Agent	99	13	30	22	6	1	1	9	3	19	6	1	0.3030	0.3235	0.4141	690
"Jackson, Conor LF BAL"	Free Agent	187	19	45	33	10	0	2	20	21	27	3	1	0.2406	0.3190	0.3262	695
"Berry, Quintin CF DET"	Free Agent	97	15	25	19	3	2	1	10	8	27	7	0	0.2577	0.3271	0.3608	699
"Nava, Daniel RF BOS "	Free Agent	143	20	35	21	12	0	2	20	19	36	1	0	0.2448	0.3550	0.3706	706
"Amarista, Alexi 2B SD"	Free Agent	164	19	37	23	9	3	2	18	10	25	4	2	0.2256	0.2670	0.3537	717
"Constanza, Jose LF ATL"	Free Agent	92	14	26	23	2	0	1	7	7	18	6	3	0.2826	0.3333	0.3370	723
"Parmelee, Chris 1B MIN "	Free Agent	134	13	36	23	8	1	4	17	12	32	0	0	0.2687	0.3378	0.4328	725
"Pie, Felix LF PIT"	Free Agent	151	18	38	26	8	2	2	13	8	28	3	1	0.2517	0.2875	0.3709	727
"Carrera, Ezequiel LF CLE"	Free Agent	116	16	30	22	5	2	1	8	8	23	6	2	0.2586	0.3120	0.3621	728
"Flaherty, Ryan 2B BAL"	Free Agent	153	15	33	24	2	1	6	19	6	43	1	0	0.2157	0.2577	0.3595	735
"Thames, Marcus LF LAD"	Free Agent	93	9	25	17	3	0	5	13	8	26	0	0	0.2688	0.3301	0.4624	780
"Bradley, Milton LF SEA"	Free Agent	115	13	24	15	5	1	3	14	14	35	4	1	0.2087	0.2977	0.3478	786
"Eaton, Adam LF ARI "	Free Agent	85	19	22	15	3	2	2	5	14	15	2	3	0.2588	0.3824	0.4118	787
"Milledge, Lastings LF CHW"	Free Agent	128	13	35	26	7	1	1	11	9	21	2	1	0.2734	0.3261	0.3672	796
"Kalish, Ryan CF BOS "	Free Agent	86	13	21	15	5	0	1	10	6	21	4	1	0.2442	0.2903	0.3372	802
"Paredes, Jimmy RF HOU"	Free Agent	121	12	31	24	4	2	1	10	8	34	4	2	0.2562	0.2977	0.3471	804
"Patterson, Eric LF DET"	Free Agent	92	11	19	11	3	2	3	8	9	28	6	1	0.2065	0.2745	0.3804	805
"Blackmon, Charlie OF COL "	Free Agent	106	12	28	22	4	0	2	8	4	12	3	2	0.2642	0.3036	0.3585	807
"Sizemore, Grady CF CLE "	Free Agent	132	16	29	16	9	1	3	15	9	40	1	1	0.2197	0.2828	0.3712	812
"Sands, Jerry RF PIT"	Free Agent	110	11	27	17	8	0	2	14	13	30	2	2	0.2455	0.3252	0.3727	813
