All Shortstops   Projections Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,Rank,
W ,Anthony Phillips SS | COL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Antoni Flores SS | BOS,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Vicente Conde SS | NYY,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Erick Aybar SS | MIN,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Wilfredo Tovar SS | LAA,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Joseph Rosa SS | SEA,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Cole Peterson SS | DET,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Alan Trejo SS | COL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,C.J. Hinojosa SS | SF,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Ryan Vilade SS | COL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Eddy Alvarez SS | CHW,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Noah Perio SS | SD,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Austin Nola SS | SEA,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Bryson Brigman SS | SEA,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Luis Valenzuela SS | ATL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Jecksson Flores SS | KC,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Angel Ortega SS | MIL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Robi Estrada SS | TB,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Austin Bailey SS | KC,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Oswald Peraza SS | NYY,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
Whiteness,Yangervis Solarte 3B | TOR ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Roberto Baldoquin SS | LAA,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Lucas Williams SS | PHI,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Grenny Cumana SS | PHI,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Isrrael De La Cruz SS | DET,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,C.J. Chatham SS | BOS ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Errol Robinson SS | LAD,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Jason Vosler SS | SD,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Michael Paez SS | NYM,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Yhoxian Medina SS | CLE,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Jonathan Galvez SS | NYY,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Carlos Herrera SS | COL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Jonathan Guzman SS | PHI,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Gift Ngoepe SS | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Riley Mahan SS | MIA,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Michael De Leon SS | TEX,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Malquin Canelo SS | PHI,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Jose Israel Garcia SS | CIN,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Luis Verdugo SS | CHC,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Javier Betancourt SS | MIL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Angel Miguel SS | CLE,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Joe Dunand SS | MIA,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Gio Urshela 3B | NYY,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Jordan Groshans SS | TOR,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Luis Gonzalez SS | CIN,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Alexander Campos SS | OAK,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Wander Franco SS | TB,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Jason Martinson SS | TEX,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Tim Lopes SS | SEA,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Joey Wong SS | SEA,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Jordy Barley SS | SD,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Gavin Lux SS | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Brendon Davis SS | TEX,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,KC Serna SS | MIA,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Jonah McReynolds SS | TEX,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Stephen Perez SS | WAS,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Curt Powell SS | DET,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Nico Hoerner SS | CHC,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Jeremy Rivera SS | BOS,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Peter Mooney SS | COL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Erick Mejia SS | KC,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Tyler Bortnick SS | ARI,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Anderson Tejeda SS | TEX,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Angel Aguilar SS | NYY,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Raynel Delgado SS | CLE,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Anthony Pereira SS | DET,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Devin Hairston SS | MIL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Gustavo Pierre SS | TOR,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Blaze Alexander SS | ARI,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Juan Ciriaco SS | COL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Gabriel Arias SS | SD,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Marten Gasparini SS | KC,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Robelys Reyes SS | STL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Edwin Garcia SS | TEX,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Jose Reyes 3B | NYM,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
