All Relief Pitchers   Projections Standard Categories
Player,INNs	APP	GS	QS	CG	W	L	S	BS	K	BB	H	ERA	WHIP	Rank	
"Austin Pruitt RP  TB"	32	18	0	0	0	3	1	0	0	23	8	37	4.96	1.38	842
"Taylor Cole RP  LAA"	13	7	0	0	0	1	1	0	0	15	5	9	3.38	1.05	845
"Alex Wilson RP  CLE "	61	65	0	0	0	1	2	1	0	51	18	66	4.43	1.38	846
"Steven Brault RP  PIT "	44	23	10	3	0	4	3	0	0	40	28	45	4.84	1.63	848
"Michael Feliz RP  PIT"	43	48	0	0	0	2	1	1	0	60	21	46	5.56	1.53	851
"Miguel Castro RP  BAL"	91	61	0	0	0	2	5	3	1	65	54	85	4.25	1.53	853
"Austin Gomber RP  STL"	35	22	9	4	0	3	3	0	0	33	16	40	4.58	1.58	855
"Chasen Shreve RP  STL"	34	44	0	0	0	2	3	1	0	49	21	38	4.72	1.72	856
"Chris Rusin RP  COL"	46	41	0	0	0	2	1	1	0	45	20	49	4.82	1.48	857
"Justus Sheffield RP  SEA"	41	23	11	4	0	4	4	0	0	35	21	44	5.23	1.57	858
"Jason Hammel RP  TEX "	42	20	8	3	0	3	3	0	0	33	11	48	5.27	1.38	859
"Brandon Kintzler RP  CHC"	36	47	0	0	0	2	1	2	0	26	13	41	4.46	1.49	861
"Paul Fry RP  BAL"	58	63	0	0	0	1	3	0	0	68	27	61	4.50	1.52	862
"Jarlin Garcia RP  MIA"	55	68	0	0	0	2	3	1	0	41	23	52	5.01	1.35	863
"Chad Bettis SP  COL "	42	23	10	4	0	3	2	0	0	29	15	43	5.14	1.38	864
"Cody Reed RP  CIN "	38	20	7	2	0	2	3	0	0	40	19	40	4.46	1.54	865
"Jake Newberry RP  KC"	44	60	0	0	0	4	2	1	0	49	30	49	5.24	1.77	867
"Luis Garcia RP  LAA "	43	52	0	0	0	2	1	1	0	52	19	48	5.23	1.56	868
"Tyler Thornburg RP  BOS "	54	63	0	0	0	4	1	1	0	50	22	63	5.63	1.56	869
"Ryan Dull RP  OAK"	34	48	0	0	0	1	0	1	0	40	12	34	5.29	1.35	871
"Shane Carle RP  ATL"	20	19	0	0	0	1	0	0	0	16	9	18	3.10	1.33	872
"Matt Albers RP  MIL"	17	22	0	0	0	2	2	0	0	20	6	19	5.09	1.42	873
"Amir Garrett RP  CIN"	56	64	0	0	0	1	1	1	0	68	26	54	5.46	1.43	874
"Dean Deetz RP  HOU"	37	65	0	0	0	2	1	1	0	39	15	42	5.06	1.53	875
"Ty Blach RP  SF"	37	20	7	3	0	3	4	0	0	21	12	42	4.62	1.46	876
"Drew VerHagen RP  DET"	25	20	0	0	0	1	1	0	0	25	8	23	4.91	1.21	877
"Bryan Shaw RP  COL"	49	58	0	0	0	3	3	1	0	56	22	61	5.25	1.67	878
"Nick Rumbelow RP  SEA"	65	52	0	0	0	1	1	1	0	64	22	67	5.34	1.36	879
"Dan Otero RP  CLE"	41	46	0	0	0	2	1	1	0	33	5	54	5.01	1.43	880
"Kyle Keller P  MIA"	29	28	0	0	0	1	1	0	0	29	11	29	4.34	1.38	882
"Derek Law RP  SF "	58	59	0	0	0	4	2	1	0	60	26	68	5.83	1.60	883
"Jonny Venters RP  ATL"	24	48	0	0	0	2	2	1	0	26	15	24	5.11	1.58	884
"Hunter Wood RP  TB"	33	29	0	0	0	1	1	1	0	38	16	38	4.05	1.62	885
"Jake McGee RP  COL"	38	49	0	0	0	1	2	2	0	43	12	41	5.68	1.39	886
"Jimmy Yacabonis SP  BAL"	42	20	7	2	0	2	4	0	0	33	20	39	4.89	1.39	887
"Keynan Middleton RP  LAA "	12	13	0	0	0	1	0	1	0	14	5	13	3.75	1.50	888
"Lucas Sims RP  CIN"	44	22	9	3	0	3	4	0	0	40	22	43	5.64	1.46	889
"Jose De Leon RP  TB "	18	12	3	1	0	2	1	0	0	18	8	19	5.00	1.50	891
"Mike Montgomery RP  CHC "	25	18	0	0	0	1	1	0	0	19	9	25	3.96	1.36	893
"Luke Gregerson RP  STL "	44	58	0	0	0	1	1	1	0	57	18	49	5.44	1.50	894
"Joe Biagini RP  TOR "	57	52	0	0	0	3	3	1	0	48	19	66	5.53	1.49	895
"Sam Freeman RP  ATL "	33	44	0	0	0	1	2	1	0	45	23	33	4.59	1.68	896
"Joe Smith RP  HOU "	6	10	0	0	0	1	0	0	0	9	2	6	4.05	1.20	897
"Brian Johnson RP  BOS"	59	42	0	0	0	1	3	1	0	54	23	67	4.42	1.53	898
"Mike Wright RP  BAL"	86	48	0	0	0	3	3	0	0	87	34	98	5.42	1.53	899
"John Means RP  BAL"	27	17	4	2	0	1	2	0	0	28	10	28	4.88	1.37	901
"Mark Melancon RP  SF"	53	59	0	0	0	1	4	2	0	49	18	71	3.91	1.68	902
"Phil Maton RP  SD"	53	59	0	0	0	1	2	0	0	68	26	60	4.75	1.62	904
"Tyler Olson RP  CLE"	15	16	0	0	0	1	1	1	0	29	9	19	5.28	1.83	905
"Adam Morgan RP  PHI "	43	48	0	0	0	1	1	1	0	57	21	51	4.81	1.67	906
"Victor Arano RP  PHI"	19	21	0	0	0	0	1	0	0	23	7	20	3.32	1.42	907
"Hector Santiago RP  NYM "	24	17	0	0	0	2	1	0	0	24	14	25	4.88	1.62	908
"Ruben Alaniz RP  SEA"	19	19	0	0	0	1	1	0	0	19	7	19	4.74	1.37	909
"Randy Rosario RP  CHC"	36	44	0	0	0	4	1	1	0	29	21	46	5.15	1.83	910
"JT Chargois RP  LAD"	6	9	0	0	0	1	0	0	0	9	3	6	4.26	1.42	911
"T.J. McFarland RP  ARI "	11	9	0	0	0	1	0	0	0	7	4	12	3.18	1.41	912
"Paul Sewald RP  NYM"	42	42	0	0	0	1	4	1	0	50	16	46	5.70	1.45	913
"Edubray Ramos RP  PHI"	7	10	0	0	0	0	0	2	0	11	4	8	3.52	1.57	914
"Nick Burdi RP  PIT"	45	83	0	0	0	2	2	1	0	49	21	48	5.80	1.53	915
"Tyler Duffey RP  MIN"	20	17	0	0	0	1	1	0	0	20	4	21	5.85	1.25	916
"Austin Brice RP  MIA "	11	9	0	0	0	1	0	0	0	11	3	11	5.56	1.24	917
"Matt Andriese RP  ARI "	26	16	0	0	0	1	2	0	0	27	9	29	5.06	1.43	918
