All Starting Pitchers 2017  Season MLB Standard Categories
Player,INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	Rank	
"Christian Friedrich SP  SD"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1122
"Chris Lee SP  BAL"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1122
"Nick Tepesch SP  TOR"	15.7	4	1	0	1	2	0	0	9	9	22	5.17	1.98	1227
"Henderson Alvarez SP  PHI"	14.7	3	0	0	0	1	0	0	6	11	14	4.29	1.70	1230
"Kyle Lloyd SP  SD"	4.0	1	0	0	0	0	0	0	2	2	6	9.00	2.00	1234
"Jack Flaherty SP  STL"	21.3	5	0	0	0	2	0	0	20	10	23	6.33	1.55	1318
"David Holmberg RP  CHW "	57.7	7	0	0	2	4	0	1	33	34	63	4.68	1.68	1330
"Raul Alcantara SP  OAK"	24.0	4	0	0	1	2	0	0	12	12	22	7.12	1.42	1333
"Felix Jorge SP  MIN"	7.7	2	0	0	1	0	0	0	4	2	14	10.56	2.09	1341
"Rafael Montero SP  NYM"	119.0	18	6	0	5	11	0	0	114	67	141	5.52	1.75	1344
"Brett Anderson SP  TOR"	55.3	13	3	0	4	4	0	0	38	21	73	6.34	1.70	1358
"Julio Urias SP  LAD "	23.3	5	1	0	0	2	0	0	11	14	23	5.40	1.59	1375
"Aaron Blair SP  ATL"	3.0	1	0	0	0	1	0	0	3	5	5	15.00	3.33	1384
"Mat Latos SP  TOR"	15.0	3	1	0	0	1	0	0	10	8	19	6.60	1.80	1394
"Jordan Zimmermann SP  DET "	160.0	29	11	0	8	13	0	0	103	44	204	6.08	1.55	1398
"Steven Matz SP  NYM "	66.7	13	4	0	2	7	0	0	48	19	83	6.08	1.53	1401
"Daniel Gossett SP  OAK"	91.3	18	7	0	4	11	0	0	72	31	116	6.11	1.61	1402
"Jarred Cosart SP  SD"	24.0	6	0	0	0	2	0	0	15	19	26	4.88	1.88	1413
"Justin Nicolino RP  MIA"	48.0	8	1	0	2	3	0	0	26	20	66	5.06	1.79	1416
